percentage,component
89.73173772874476,1
10.268236734829438,2
2.4514732454518915e-05,3
5.476274180412805e-07,4
3.9774428747196115e-07,5
5.253071541897598e-08,6
1.9414707707441773e-08,7
4.214640331706828e-09,8
8.439957963392718e-11,9
7.716948174736366e-11,10
