1,2,attribute
-0.8104890199148018,-0.585753828979932,Lpep_dropoff_datetime
-0.5857538292439696,0.8104890198471185,lpep_pickup_datetime
8.72091470430268e-07,1.5709097601669844e-05,Tip_amount
9.28417287546546e-06,1.7005163933761833e-05,Fare_amount
-7.487460976650182e-07,1.106259223293988e-07,Passenger_count
-4.959103944698406e-08,-2.5898862286323392e-08,Payment_type
7.942682841226121e-07,-2.4442938592378345e-06,Tolls_amount
5.9510410521990635e-06,8.070806594558883e-07,Trip_distance
3.556133448846824e-09,-1.0531515803230903e-07,Dropoff_longitude
7.300175281289957e-08,-6.641313315058808e-08,Dropoff_latitude
