Trip_distance,Dropoff_longitude,Fare_amount,Tolls_amount,lpep_pickup_datetime
19.12,-73.99335479736328,64.0,16.04,2016-06-02 04:19:09
9.910526315789474,-73.93527703536185,36.631578947368425,0.29157894736842105,2016-06-02 11:40:42
5.530681818181819,-73.9466386274858,22.73863636363637,0.3777272727272725,2016-06-02 09:11:14
2.873921568627451,-73.92905755136528,12.970588235294118,0.10862745098039207,2016-06-02 13:19:53
7.937333333333332,-73.94795532226563,35.099999999999994,0.3693333333333332,2016-06-02 10:41:36
4.769111111111112,-73.91874254014758,16.54444444444444,-6.938893903907227e-17,2016-06-02 01:05:30
2.88,-73.91676076253255,11.297619047619053,0.13190476190476186,2016-06-02 04:01:37
3.8113461538461535,-73.93815128619855,15.31730769230769,0.6392307692307694,2016-06-02 11:10:30
0.9797590361445794,-73.93757133024285,6.7542168674698875,-2.0816681711721683e-16,2016-06-02 15:29:20
3.7630555555555554,-73.94282616509332,19.527777777777768,0.1538888888888889,2016-06-02 14:56:42
6.821153846153847,-73.95548952542819,25.461538461538463,0.2130769230769231,2016-06-02 21:48:26
1.7048837209302319,-73.92340265318406,7.651162790697671,-5.551115123125783e-17,2016-06-02 02:23:26
0.9291139240506329,-73.94201100023487,6.037974683544313,-1.9428902930940242e-16,2016-06-02 14:22:14
1.22448275862069,-73.92964426676433,7.862068965517245,-2.220446049250313e-16,2016-06-02 13:07:32
1.1736607142857138,-73.93772281919208,6.276785714285711,-2.6367796834847473e-16,2016-06-02 20:59:20
3.4244155844155846,-73.94432236312272,13.298701298701301,-1.9428902930940242e-16,2016-06-02 22:18:12
2.0444186046511628,-73.91431710886401,8.948837209302326,-5.551115123125783e-17,2016-06-02 03:00:11
3.138260869565217,-73.94020567078522,12.920289855072465,0.1605797101449274,2016-06-02 21:25:55
1.0284090909090915,-73.93825513666326,6.397727272727279,-2.220446049250313e-16,2016-06-02 15:04:36
5.355576923076924,-73.95164592449481,21.22115384615385,0.10653846153846144,2016-06-02 19:39:24
2.4102857142857146,-73.93014428274972,10.25,0.1582857142857142,2016-06-02 21:54:56
1.105342465753424,-73.93243669483759,6.18493150684932,-1.8041124150158796e-16,2016-06-02 12:46:08
7.12875,-73.9616322517395,32.96875,1.0025,2016-06-02 12:37:08
0.899425287356322,-73.93769169949938,6.189655172413797,-2.220446049250313e-16,2016-06-02 18:09:15
9.311,-73.89132881164552,27.975,0.2769999999999997,2016-06-02 04:54:20
1.9770967741935483,-73.93030117404076,9.85483870967742,0.04096774193548372,2016-06-02 16:14:08
0.8638461538461544,-73.94062201531379,7.008791208791214,-2.220446049250313e-16,2016-06-02 08:01:12
