Lpep_dropoff_datetime,lpep_pickup_datetime,Tip_amount,Fare_amount,Passenger_count,Payment_type,Tolls_amount,Trip_distance,Dropoff_longitude,Dropoff_latitude
2016-06-02 01:35:03,2016-06-02 01:19:42,1.3768518518518518,15.62962962962963,1.0925925925925928,1.5,-1.249000902703301e-16,4.383333333333334,-73.93725727222584,40.724847864221644
2016-06-02 17:22:19,2016-06-02 17:07:23,0.917945205479452,11.56164383561644,1.7123287671232879,1.5890410958904106,-1.8041124150158794e-16,2.1895890410958905,-73.92853410276648,40.74649978010622
2016-06-02 09:58:39,2016-06-02 09:37:11,1.831372549019608,17.696078431372545,1.3725490196078434,1.352941176470588,0.10862745098039217,4.0988235294117645,-73.94147730808632,40.73493576049805
2016-06-02 21:29:53,2016-06-02 21:24:05,0.7675,6.967741935483868,1.4112903225806455,1.5161290322580645,-2.7755575615628914e-16,1.1594354838709686,-73.93344522291613,40.745304261484456
2016-06-02 14:06:50,2016-06-02 13:30:44,3.2824999999999998,28.55,1.25,1.25,1.1079999999999997,7.276,-73.9358570098877,40.75711460113526
2016-06-03 18:34:15,2016-06-02 19:28:29,0.0,6.666666666666667,3.0,2.0,0.0,1.4333333333333333,-73.8350118001302,40.7083854675293
2016-06-02 07:51:22,2016-06-02 07:45:58,0.42679999999999985,5.8200000000000065,1.1866666666666668,1.5866666666666664,-1.942890293094024e-16,0.8807999999999996,-73.93965555826823,40.764009145100914
2016-06-02 23:15:30,2016-06-02 23:00:46,1.4747142857142859,13.978571428571431,1.3000000000000003,1.457142857142857,-1.8041124150158794e-16,3.608714285714286,-73.93576899937221,40.724547903878346
2016-06-02 19:48:37,2016-06-02 19:41:57,0.7030252100840334,6.428571428571421,1.4537815126050422,1.5630252100840334,-2.636779683484747e-16,1.1046218487394968,-73.9366314030495,40.73363914810309
2016-06-03 06:31:07,2016-06-02 07:20:31,0.9833333333333334,19.5,1.3333333333333333,1.6666666666666667,0.0,5.943333333333333,-73.89967091878255,40.709784189860024
2016-06-02 11:58:00,2016-06-02 11:32:22,2.721190476190476,21.86904761904762,1.3095238095238095,1.4047619047619047,0.9233333333333342,5.574285714285715,-73.95399075462704,40.730085736229306
2016-06-02 05:46:37,2016-06-02 05:23:31,2.5486666666666666,30.333333333333332,1.1333333333333333,1.4666666666666666,0.36933333333333324,10.138,-73.91524709065756,40.7420051574707
2016-06-02 15:01:53,2016-06-02 14:52:53,0.598494623655914,7.860215053763445,1.2150537634408605,1.5913978494623655,0.027311827956989013,1.418279569892473,-73.93474792152323,40.75597028834846
2016-06-02 18:43:08,2016-06-02 18:18:53,1.790185185185185,17.84259259259259,1.5000000000000002,1.4814814814814814,0.14962962962962964,3.6353703703703704,-73.94600861160843,40.73753540604203
2016-06-02 15:51:16,2016-06-02 15:44:59,0.39880000000000004,6.480000000000006,1.2666666666666668,1.6533333333333333,-1.942890293094024e-16,1.0194666666666663,-73.93845214843749,40.76487889607748
2016-06-03 00:00:00,2016-06-02 10:39:57,0.6679999999999999,9.5,2.0,1.2,0.0,2.052,-73.9125259399414,40.72620162963867
2016-06-02 03:29:31,2016-06-02 03:22:26,0.58,9.119047619047619,1.5952380952380953,1.6666666666666665,0.1319047619047619,2.0597619047619045,-73.90768795921689,40.735703786214195
2016-06-02 08:48:13,2016-06-02 08:42:37,0.5554878048780488,6.404878048780493,1.3414634146341464,1.451219512195122,-2.0816681711721685e-16,0.9525609756097557,-73.93634982225372,40.76774336652058
2016-06-02 00:21:57,2016-06-02 00:16:23,0.6533802816901407,6.352112676056344,1.2253521126760565,1.5492957746478873,-1.8041124150158794e-16,1.2929577464788735,-73.93462275115537,40.741000269500304
2016-06-03 00:16:31,2016-06-02 00:34:03,0.6399999999999999,6.0,1.8000000000000003,1.6,0.0,0.8879999999999999,-73.94971771240235,40.744903564453125
2016-06-02 20:49:03,2016-06-02 20:42:26,0.7603191489361703,6.664893617021282,1.3297872340425532,1.5106382978723405,0.1178723404255319,1.2992553191489364,-73.93398698847345,40.74214829789831
2016-06-03 12:42:29,2016-06-02 13:13:52,1.88,12.75,1.0,1.5,0.0,2.13,-73.93947219848633,40.73090171813965
2016-06-02 12:57:09,2016-06-02 12:51:12,0.323050847457627,6.491525423728815,1.0847457627118646,1.694915254237288,-1.5265566588595902e-16,1.023728813559322,-73.93531075170485,40.76803058688924
2016-06-02 10:33:56,2016-06-02 10:27:47,0.43364705882352916,6.34705882352942,1.1764705882352944,1.6470588235294117,0.06517647058823531,1.0998823529411765,-73.93262104707605,40.76721213845646
2016-06-02 22:19:20,2016-06-02 22:13:09,0.564705882352941,7.200980392156869,1.3921568627450982,1.5980392156862744,-2.498001805406602e-16,1.350686274509804,-73.93023023418351,40.74678813709932
2016-06-03 00:13:42,2016-06-02 23:47:07,2.7302857142857144,24.34285714285715,1.1714285714285715,1.2857142857142856,0.3165714285714284,6.756857142857143,-73.94368373325892,40.7118408203125
2016-06-02 06:45:02,2016-06-02 06:27:41,1.429375,16.640625,1.3125000000000002,1.5,0.34625,4.796875,-73.9436891078949,40.75659966468811
2016-06-03 00:00:00,2016-06-02 16:02:40,4.713333333333333,22.5,1.0,1.0,1.8466666666666662,5.33,-73.95372772216797,40.71079889933269
2016-06-02 17:04:51,2016-06-02 16:43:48,1.3704166666666666,15.166666666666668,1.3125,1.5833333333333333,0.11541666666666668,2.7697916666666664,-73.94038073221843,40.74916330973307
2016-06-03 21:47:54,2016-06-02 23:30:42,1.76,7.5,1.0,1.0,0.0,1.32,-73.97351837158203,40.68624877929688
